parentName;targetSiret;makeGroup
VITAGERMINE;;
FABULOUS FRENCH BRASSEURS;;
MOULIN DES MOINES;;
GROUPE EUGENE BLOND;;
GROUPE KASKASS;;
GROUPE SILL;63622022000017;Oui
SARAPARTICIPATIONS;52859649700016;Oui
AEB SERVICES;89841681300019;Oui
GROUPE PIERRE SCHMIDT;63850041300049;Oui
GROUPE LE GRAET;38466458700035;Oui
GROUPE SECO;53844935600020;Oui
SAVEURS ET TRADITIONS CONSEIL (holding);52929577600015;Oui
SAVEURS ET TRADITIONS CONSEIL;52929577600015;Oui
