ligne;siret;nom;saison;type_audit;statut_ecocert;probleme;details
12;50185556300018;AMERICAN DESSERTS;2023;Annual inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 50185556300018, SIREN 501855563 absent de la base, nom non rapproché
30;;EXTRUPLAST;2022;Annual inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « EXTRUPLAST » (SIRET base 41513341200015)"
35;34795652600037;LES QUATRE SAISONS;2025;Documentary review;4-Certification finished;Audit rattaché par nom;"SIRET audit ""34795652600037"" → entité « LES QUATRE SAISONS » (SIRET base 32304875100024)"
63;;ST HUBERT;2024;Additional inspection;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
71;08608029800036;SOCIETE FRANCAISE DE DIFFUSION DES VINAIGRES D'ORLEANS SAS;2026;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 08608029800036 → entité « MARTIN POURET » (SIRET base 08608029800010)
73;38219585700026;ALPES BISCUITS;2024;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 38219585700026 → entité « ALPES BISCUITS » (SIRET base 38219585700018)
85;34768107400063;CHARLES & ALICE;2025;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 34768107400063 → entité « CHARLES ET ALICE » (SIRET base 34768107400048)
89;84954105700022;Natur'opéra;2023;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 84954105700022 → entité « Natur'Opéra » (SIRET base 84954105700014)
93;32135524000037;JC DAVID;2024;Documentary review;4-Certification finished;Audit rattaché par nom;"SIRET audit ""32135524000037"" → entité « JC DAVID » (SIRET base 43910041300020)"
96;90003265700026;ATELIER CORSE FRUITS ET LEGUMES SAS;2026;Documentary review;2-Inspection order accepted;Audit rattaché par SIREN;SIRET audit 90003265700026 → entité « ATELIER CORSE FRUITS ET LEGUMES » (SIRET base 90003265700018)
99;34768107400063;CHARLES & ALICE;2024;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 34768107400063 → entité « CHARLES ET ALICE » (SIRET base 34768107400048)
110;38238136600048;BISCUITERIE DE PROVENCE SA;2024;Annual inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 38238136600048, SIREN 382381366 absent de la base, nom non rapproché
127;;OVALIS;2023;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
128;;EXTRUPLAST;2024;Annual inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « EXTRUPLAST » (SIRET base 41513341200015)"
143;84954105700022;Natur'opéra;2025;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 84954105700022 → entité « Natur'Opéra » (SIRET base 84954105700014)
147;01575153000013;MULOT ET PETITJEAN SA;2024;Annual inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 01575153000013, SIREN 015751530 absent de la base, nom non rapproché
154;34465626900083;LOBODIS SAS;2024;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 34465626900083 → entité « LOBODIS » (SIRET base 34465626900075)
159;;ST HUBERT;2022;Renewal audit;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
169;520082405;COMPAGNIE DU BICARBONATE;2024;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 520082405 → entité « COMPAGNIE DU BICARBONATE » (SIRET base 52008240500025)
175;34329151400036;"CULTURE MIEL ";2023;Documentary review;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 34329151400036, SIREN 343291514 absent de la base, nom non rapproché
180;;FIMCO;2022;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
185;84954105700022;Natur'opéra;2026;Annual inspection;2-Inspection order accepted;Audit rattaché par SIREN;SIRET audit 84954105700022 → entité « Natur'Opéra » (SIRET base 84954105700014)
191;38791777600107;FRESH FOOD VILLAGE;2026;Renewal audit;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 38791777600107 → entité « FRESH FOOD VILLAGE » (SIRET base 38791777600073)
200;38233895200015;SPH GERARD BERTRAND  - SITE PRINCIPAL;2025;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 38233895200015 → entité « SPH GERARD BERTRAND » (SIRET base 38233895200023)
224;38219585700026;ALPES BISCUITS;2026;Documentary review;2-Inspection order accepted;Audit rattaché par SIREN;SIRET audit 38219585700026 → entité « ALPES BISCUITS » (SIRET base 38219585700018)
226;82106484700030;CHICHE   SAS;2026;Documentary review;2-Inspection order accepted;Audit rattaché par SIREN;SIRET audit 82106484700030 → entité « CHICHE » (SIRET base 82106484700022)
235;;ICI&LA;2023;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
249;34768107400063;CHARLES & ALICE;2026;Annual inspection;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 34768107400063 → entité « CHARLES ET ALICE » (SIRET base 34768107400048)
254;34465626900083;LOBODIS SAS;2025;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 34465626900083 → entité « LOBODIS » (SIRET base 34465626900075)
277;80378260600021;OCCITANE PLATS CUISINES SAS;2026;Documentary review;2-Inspection order accepted;Audit rattaché par SIREN;SIRET audit 80378260600021 → entité « OCCITANE PLATS CUISINES » (SIRET base 80378260600013)
278;;GROUPE ROUTHIAU;2022;Annual inspection;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
280;34465626900083;LOBODIS SAS;2026;Documentary review;2-Inspection order accepted;Audit rattaché par SIREN;SIRET audit 34465626900083 → entité « LOBODIS » (SIRET base 34465626900075)
292;50185556300018;AMERICAN DESSERTS;2022;Documentary review;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 50185556300018, SIREN 501855563 absent de la base, nom non rapproché
294;;ST HUBERT;2023;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
311;38233895200015;SPH GERARD BERTRAND  - SITE PRINCIPAL;2026;Annual inspection;2-Inspection order accepted;Audit rattaché par SIREN;SIRET audit 38233895200015 → entité « SPH GERARD BERTRAND » (SIRET base 38233895200023)
324;;ESPROMER;2022;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
336;;RICA LEWIS;2024;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
354;33425815900014;BOYAUDERIE SISTERONNAISE;2023;Documentary review;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 33425815900014, SIREN 334258159 absent de la base, nom non rapproché
364;90003265700026;ATELIER CORSE FRUITS ET LEGUMES SAS;2025;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 90003265700026 → entité « ATELIER CORSE FRUITS ET LEGUMES » (SIRET base 90003265700018)
367;;NUTRIANNE;2022;Renewal audit;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
371;66020113800030;HUILERIE EMILE NOEL SAS;2023;Documentary review;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 66020113800030, SIREN 660201138 absent de la base, nom non rapproché
374;35382104400131;PAGES VEDRENNE;2026;Annual inspection;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 35382104400131 → entité « PAGES VEDRENNE » (SIRET base 35382104400065)
390;54202583800401;ARDEA;2026;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 54202583800401 → entité « ARDEA » (SIRET base 54202583800377)
394;35382104400131;PAGES VEDRENNE;2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 35382104400131 → entité « PAGES VEDRENNE » (SIRET base 35382104400065)
396;51910501900037;BIO PROVENCE;2024;Initial inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 51910501900037, SIREN 519105019 absent de la base, nom non rapproché
408;38219585700026;ALPES BISCUITS;2025;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 38219585700026 → entité « ALPES BISCUITS » (SIRET base 38219585700018)
