siret;canonicalEcocertId;commentaire
91542023600019;179209;DES EAUX MINERALES DE RIBEAUVILLE porteur du contrat (CAROLA)
49949540600021;298867;Culture Pom : siège engagé porteur
82140786300025;200481;FUNKIE porteur (ex FUNKY VEGGIE)
55850337100160;199225;GROUPE FRANCAISE DE GASTRONOMIE porteur
