Nom;SIRET;Type d'entité;Mode labellisation;Organisme Évaluateur;Chargé de compte;Dernier audit;Dernière mise à jour
SOS ALSAC IMPORTATION DE CAFES (CAFE SATI);57850209800010;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
SOMAPRO;33518515300012;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
SODIPORC;73182014800039;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
SODALIS FRANCE - Ex. NOVAMEX (L'ARBRE VERT);33779606400059;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
SOCIETE DES EAUX DE MONT ROUCOUS;30489141900026;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
SAVEURS ET TRADITIONS CONSEIL (holding);52929577600015;Entreprise;Suiveur;Ecocert;;Planification - Renouvellement;26 mai 2026
SARAPARTICIPATIONS;52859649700016;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
UPCS Groupe DEBROAS;30942263200021;Groupe;Maître;Ecocert;;Terminé - Suivi (physique);26 mai 2026
Salaisons de Saint Sauveur sas;50043831200026;Entreprise;Suiveur;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
SALAISONS CROS;32379068300037;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
SABAROT WASSNER;58575081300040;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
SA VINS JEAN LOUIS PARSAT;35333323000012;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
ROCHES BLANCHES;53303039100015;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
RIVIERE;34984417500019;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
