ligne;siret;nom;saison;type_audit;statut_ecocert;probleme;details
3;5344551180040;FOODIZ SOLUTIONS;2026;Renewal audit;2-Inspector's Infoportal;SIRET inconnu dans la base FEEF;SIRET Ecocert : 5344551180040 — ID Ecocert : 301081
14;;CRYSTAL;2026;Additional inspection;2-Inspection order accepted;SIRET manquant;"SIRET brut : """""
15;;OCCITANE PLATS CUISINES;2026;Documentary review;2-Inspector's Infoportal;SIRET manquant;"SIRET brut : """""
16;;RIGA SAS ( Logistique);2026;Additional inspection;2-Inspector's Infoportal;SIRET manquant;"SIRET brut : """""
23;1715010300046;HYGIENE ET NATURE;2026;Documentary review;2-Inspector's Infoportal;SIRET inconnu dans la base FEEF;SIRET Ecocert : 1715010300046 — ID Ecocert : 121132
25;;FROMAGERIE MILLERET;2026;Additional inspection;2-Inspection order accepted;SIRET manquant;"SIRET brut : """""
27;63632053300012;POULIQUEN;2026;Renewal audit;2-Inspection in progress;SIRET inconnu dans la base FEEF;SIRET Ecocert : 63632053300012 — ID Ecocert : 63056
31;821064847;CHICHE;2026;Documentary review;2-Inspector's Infoportal;SIRET inconnu dans la base FEEF;SIRET Ecocert : 821064847 — ID Ecocert : 166500
36;55850337100178;GROUPE FRANCAISE DE  GASTRONOMIE;2026;Annual inspection;2-Inspector's Infoportal;SIRET inconnu dans la base FEEF;SIRET Ecocert : 55850337100178 — ID Ecocert : 233287
37;90003265700026;ATELIER CORSE FRUITS ET LEGUMES;2026;Documentary review;2-Inspector's Infoportal;SIRET inconnu dans la base FEEF;SIRET Ecocert : 90003265700026 — ID Ecocert : 250846
43;41026927800017;BIO FERME;2026;Additional inspection;2-Inspector's Infoportal;SIRET inconnu dans la base FEEF;SIRET Ecocert : 41026927800017 — ID Ecocert : 114465
48;38233895200056;SPH GERARD BERTRAND SITE EMBOUTEILLAGE NARBONNE;2026;Additional inspection;2-Inspection order accepted;SIRET inconnu dans la base FEEF;SIRET Ecocert : 38233895200056 — ID Ecocert : 102352
51;;LOBODIS;2026;Documentary review;2-Inspector's Infoportal;SIRET manquant;"SIRET brut : """""
52;45103226200029;PARFUMS CORANIA;2026;Documentary review;2-Inspector's Infoportal;SIRET inconnu dans la base FEEF;SIRET Ecocert : 45103226200029 — ID Ecocert : 306025
57;;ALTHO;2026;Renewal audit;2-Inspector's Infoportal;SIRET manquant;"SIRET brut : """""
61;44916448200050;ETHIQUABLE;2026;Renewal audit;2-Inspector's Infoportal;SIRET inconnu dans la base FEEF;SIRET Ecocert : 44916448200050 — ID Ecocert : 67846
72;83094262900015;BIOMERE (ex : Jubiles);2026;Documentary review;2-Inspector's Infoportal;SIRET inconnu dans la base FEEF;SIRET Ecocert : 83094262900015 — ID Ecocert : 167983
75;528126584;GALILEO;2026;Initial inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 528126584 — ID Ecocert : 168015
76;33985193300012;MARIE MORIN FRANCE;2026;Documentary review;2-Inspector's Infoportal;SIRET inconnu dans la base FEEF;SIRET Ecocert : 33985193300012 — ID Ecocert : 21004
79;80524372200024;HOLLEA;2026;Documentary review;2-Inspector's Infoportal;SIRET inconnu dans la base FEEF;SIRET Ecocert : 80524372200024 — ID Ecocert : 156929
