ligne;siret;nom;saison;type_audit;statut_ecocert;probleme;details
116;33425815900014;BOYAUDERIE SISTERONNAISE;2022;Annual inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 33425815900014, SIREN 334258159 absent de la base, nom non rapproché
118;37926939200021;CAFES LE BONIFIEUR;2026;Initial inspection;2-Inspector's Infoportal;SIRET inconnu dans la base FEEF;SIRET Ecocert : 37926939200021, SIREN 379269392 absent de la base, nom non rapproché
128;39420218800147;ESPRIT DU SEL;2022;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 39420218800147 → entité « ESPRIT DU SEL » (SIRET base 39420218800063)
131;85580259100013;NATURE ET ALIMENTS;2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 85580259100013 → entité « NATURE ET ALIMENTS » (SIRET base 85580259100021)
138;84954105700022;Natur'opéra;2024;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 84954105700022 → entité « Natur'Opéra » (SIRET base 84954105700014)
141;;NUTRIANNE;2022;Renewal audit;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
142;85580259100013;NATURE ET ALIMENTS;2026;Documentary review;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 85580259100013 → entité « NATURE ET ALIMENTS » (SIRET base 85580259100021)
147;57213300700177;LA BROSSE ET DUPONT;2025;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 57213300700177 → entité « LA BROSSE ET DUPONT » (SIRET base 57213300700144)
150;82947982300033;MAISON COLLET;2026;Initial inspection;3-Certification in progress;SIRET inconnu dans la base FEEF;SIRET Ecocert : 82947982300033, SIREN 829479823 absent de la base, nom non rapproché
151;39562010700015;DUCS DE GASCOGNE;2025;Initial inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 39562010700015, SIREN 395620107 absent de la base, nom non rapproché
157;;OVALIS;2023;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
164;57213300700177;LA BROSSE ET DUPONT;2023;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 57213300700177 → entité « LA BROSSE ET DUPONT » (SIRET base 57213300700144)
171;43523314300013;LES JARDINS DE L'ORBRIE;2024;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 43523314300013 → entité « LES JARDINS DE L'ORBRIE » (SIRET base 43523314300039)
176;;ST HUBERT;2022;Renewal audit;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
180;33985193300012;MARIE MORIN FRANCE;2025;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 33985193300012 → entité « MARIE MORIN » (SIRET base 33985193300020)
185;75720010000019;BISCUITS BOUVARD;2022;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 75720010000019 → entité « BISCUITS BOUVARD » (SIRET base 75720010000027)
189;66020113800030;HUILERIE EMILE NOEL;2022;Initial inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 66020113800030, SIREN 660201138 absent de la base, nom non rapproché
190;;ICI&LA;2022;Renewal audit;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
192;34795652600037;LES QUATRE SAISONS;2026;Renewal audit;2-Inspection order accepted;Audit rattaché par nom;"SIRET audit ""34795652600037"" → entité « LES QUATRE SAISONS » (SIRET base 32304875100024)"
199;38863525200025;NATURALIM France Miel;2025;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 38863525200025 → entité « NATURALIM FRANCE MIEL » (SIRET base 38863525200033)
202;;ASSOCIATION BIOPARTENAIRE;2023;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
206;50749690900049;BONNEVAL EMERGENCE;2026;Initial inspection;2-Inspector's Infoportal;SIRET inconnu dans la base FEEF;SIRET Ecocert : 50749690900049, SIREN 507496909 absent de la base, nom non rapproché
208;56850321300023;RAIFALSA-ALELOR;2025;Renewal audit;4-Certification finished;Audit rattaché par nom;"SIRET audit ""56850321300023"" → entité « RAIFALSA-ALELOR » (SIRET base 41452729100036)"
220;35382104400131;PAGES VEDRENNE;2026;Annual inspection;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 35382104400131 → entité « PAGES VEDRENNE » (SIRET base 35382104400065)
222;44916448200050;ETHIQUABLE;2026;Renewal audit;2-Inspection order accepted;Audit rattaché par SIREN;SIRET audit 44916448200050 → entité « ETHIQUABLE » (SIRET base 44916448200027)
235;40588005500059;LA RUCHE ROANNAISE BESACIER;2025;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 40588005500059 → entité « LA RUCHE ROANNAISE/MIEL BESACIER + (BOITE A CAKE) » (SIRET base 40588005500034)
236;;BRETZEL BURGARD;2025;Documentary review;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « BRETZEL BURGARD » (SIRET base 43777366600122)"
242;38233895200015;SPH GERARD BERTRAND  - SITE PRINCIPAL;2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 38233895200015 → entité « SPH GERARD BERTRAND » (SIRET base 38233895200023)
245;44916448200050;ETHIQUABLE;2022;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 44916448200050 → entité « ETHIQUABLE » (SIRET base 44916448200027)
247;56850321300023;RAIFALSA-ALELOR;2026;Documentary review;2-Inspector's Infoportal;Audit rattaché par nom;"SIRET audit ""56850321300023"" → entité « RAIFALSA-ALELOR » (SIRET base 41452729100036)"
250;;LOBODIS;2024;Documentary review;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « LOBODIS » (SIRET base 34465626900075)"
261;38219585700026;ALPES BISCUITS;2024;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 38219585700026 → entité « ALPES BISCUITS » (SIRET base 38219585700018)
262;83094262900015;BIOMERE (ex : Jubiles);2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 83094262900015 → entité « BIOMERE » (SIRET base 83094262900056)
263;;ASSOCIATION BIOPARTENAIRE;2022;Renewal audit;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
284;;MEDITERRANEAN FOOD SOLUTIONS;2024;Annual inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « MEDITERRANEAN FOOD SOLUTIONS » (SIRET base 75366031500031)"
287;;WOLF LINGERIE;2025;Renewal audit;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « WOLF LINGERIE » (SIRET base 63850210400042)"
289;62162092100075;CONFISERIE DU ROY RENE;2022;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 62162092100075 → entité « CONFISERIE DU ROY RENE » (SIRET base 62162092100026)
291;38791777600107;FRESH FOOD VILLAGE;2026;Renewal audit;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 38791777600107 → entité « FRESH FOOD VILLAGE » (SIRET base 38791777600073)
294;30887574900019;DELOUIS FILS;2025;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 30887574900019 → entité « DELOUIS FILS - MOUTARDES ET CONDIMENTS » (SIRET base 30887574900035)
297;;ESPROMER;2022;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
305;;CIDRES LEBRUN;2023;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
306;;ESPROMER;2023;Annual inspection;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
309;;ST HUBERT;2023;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
311;;LOBODIS;2025;Renewal audit;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « LOBODIS » (SIRET base 34465626900075)"
313;38791777600107;FRESH FOOD VILLAGE;2024;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 38791777600107 → entité « FRESH FOOD VILLAGE » (SIRET base 38791777600073)
315;;LOBODIS;2023;Annual inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « LOBODIS » (SIRET base 34465626900075)"
318;55850337100178;GROUPE FRANCAISE DE  GASTRONOMIE;2026;Annual inspection;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 55850337100178 → entité « GROUPE FRANCAISE DE GASTRONOMIE » (SIRET base 55850337100160)
320;520082405;COMPAGNIE DU BICARBONATE;2025;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 520082405 → entité « COMPAGNIE DU BICARBONATE » (SIRET base 52008240500025)
321;35382104400131;PAGES VEDRENNE;2024;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 35382104400131 → entité « PAGES VEDRENNE » (SIRET base 35382104400065)
325;303229504;AGROBIOTHERS LABORATOIRE;2026;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 303229504 → entité « AGROBIOTHERS » (SIRET base 30322950400020)
331;62162092100075;CONFISERIE DU ROY RENE;2025;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 62162092100075 → entité « CONFISERIE DU ROY RENE » (SIRET base 62162092100026)
336;53273732700017;BRASSERIE DE VEZELAY;2022;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 53273732700017 → entité « BRASSERIE DE VEZELAY » (SIRET base 53273732700025)
338;63632053300012;POULIQUEN;2022;Initial inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit ""63632053300012"" → entité « POULIQUEN » (SIRET base 83964261800020)"
339;;JLF;2022;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
341;44916448200050;ETHIQUABLE;2025;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 44916448200050 → entité « ETHIQUABLE » (SIRET base 44916448200027)
344;;LPA - LES P'TITS AMOUREUX;2026;Documentary review;2-Inspection order accepted;Audit rattaché par nom;"SIRET audit """" → entité « LPA - LES P'TITS AMOUREUX » (SIRET base 41428075000020)"
361;80883569800016;SEREALYS;2026;Initial inspection;3-Inspection finished - Pool;SIRET inconnu dans la base FEEF;SIRET Ecocert : 80883569800016, SIREN 808835698 absent de la base, nom non rapproché
363;;MEDITERRANEAN FOOD SOLUTIONS;2025;Documentary review;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « MEDITERRANEAN FOOD SOLUTIONS » (SIRET base 75366031500031)"
369;33425815900014;BOYAUDERIE SISTERONNAISE;2024;Annual inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 33425815900014, SIREN 334258159 absent de la base, nom non rapproché
371;;RICA LEWIS;2024;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
382;34768107400063;CHARLES & ALICE;2024;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 34768107400063 → entité « CHARLES ET ALICE » (SIRET base 34768107400048)
384;;TRIPES PAILLARD;2022;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
385;34768107400063;CHARLES & ALICE;2026;Annual inspection;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 34768107400063 → entité « CHARLES ET ALICE » (SIRET base 34768107400048)
386;821064847;CHICHE;2025;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 821064847 → entité « CHICHE » (SIRET base 82106484700022)
387;83094262900015;BIOMERE (ex : Jubiles);2025;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 83094262900015 → entité « BIOMERE » (SIRET base 83094262900056)
391;83094262900015;BIOMERE (ex : Jubiles);2024;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 83094262900015 → entité « BIOMERE » (SIRET base 83094262900056)
397;85580259100013;NATURE ET ALIMENTS;2024;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 85580259100013 → entité « NATURE ET ALIMENTS » (SIRET base 85580259100021)
401;30887574900019;DELOUIS FILS;2026;Renewal audit;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 30887574900019 → entité « DELOUIS FILS - MOUTARDES ET CONDIMENTS » (SIRET base 30887574900035)
412;;ASSOCIATION BIOPARTENAIRE;2025;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
418;408061091000;SADAC;2026;Documentary review;3-Certification order accepted;Audit rattaché par SIREN;SIRET audit 408061091000 → entité « SOCIETE ANGEVINE DES AIDES CULINAIRES SADAC » (SIRET base 40806109100042)
419;55850337100178;GROUPE FRANCAISE DE  GASTRONOMIE;2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 55850337100178 → entité « GROUPE FRANCAISE DE GASTRONOMIE » (SIRET base 55850337100160)
421;50185556300018;AMERICAN DESSERTS;2023;Annual inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 50185556300018, SIREN 501855563 absent de la base, nom non rapproché
431;35382104400131;PAGES VEDRENNE;2022;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 35382104400131 → entité « PAGES VEDRENNE » (SIRET base 35382104400065)
437;34329151400036;CULTURE MIEL;2022;Renewal audit;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 34329151400036, SIREN 343291514 absent de la base, nom non rapproché
442;80524372200024;HOLLEA;2023;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 80524372200024 → entité « HOLLEA » (SIRET base 80524372200016)
445;74562027800044;ROUTIN;2025;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 74562027800044 → entité « ROUTIN SA » (SIRET base 74562027800010)
449;;WOLF LINGERIE;2022;Documentary review;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « WOLF LINGERIE » (SIRET base 63850210400042)"
453;38233895200015;SPH GERARD BERTRAND  - SITE PRINCIPAL;2026;Annual inspection;2-Inspection order accepted;Audit rattaché par SIREN;SIRET audit 38233895200015 → entité « SPH GERARD BERTRAND » (SIRET base 38233895200023)
458;50185556300018;AMERICAN DESSERTS;2022;Documentary review;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 50185556300018, SIREN 501855563 absent de la base, nom non rapproché
460;38863525200025;NATURALIM France Miel;2024;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 38863525200025 → entité « NATURALIM FRANCE MIEL » (SIRET base 38863525200033)
464;;OVALIS;2022;Initial inspection;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
480;33985193300012;MARIE MORIN FRANCE;2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 33985193300012 → entité « MARIE MORIN » (SIRET base 33985193300020)
482;;MEDITERRANEAN FOOD SOLUTIONS;2023;Documentary review;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « MEDITERRANEAN FOOD SOLUTIONS » (SIRET base 75366031500031)"
487;81499482800022;LES GLACIERS PARISIENS (ALPEREL);2022;Documentary review;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 81499482800022, SIREN 814994828 absent de la base, nom non rapproché
489;;MAISON ROUSTIT;2026;Initial inspection;2-Inspection order accepted;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
490;33985193300012;MARIE MORIN FRANCE;2022;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 33985193300012 → entité « MARIE MORIN » (SIRET base 33985193300020)
492;39420218800147;ESPRIT DU SEL;2026;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 39420218800147 → entité « ESPRIT DU SEL » (SIRET base 39420218800063)
494;66020113800030;HUILERIE EMILE NOEL;2023;Documentary review;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 66020113800030, SIREN 660201138 absent de la base, nom non rapproché
502;75720010000019;BISCUITS BOUVARD;2025;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 75720010000019 → entité « BISCUITS BOUVARD » (SIRET base 75720010000027)
504;80524372200024;HOLLEA;2024;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 80524372200024 → entité « HOLLEA » (SIRET base 80524372200016)
507;39420218800147;ESPRIT DU SEL;2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 39420218800147 → entité « ESPRIT DU SEL » (SIRET base 39420218800063)
511;38233895200015;SPH GERARD BERTRAND  - SITE PRINCIPAL;2025;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 38233895200015 → entité « SPH GERARD BERTRAND » (SIRET base 38233895200023)
519;520082405;COMPAGNIE DU BICARBONATE;2024;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 520082405 → entité « COMPAGNIE DU BICARBONATE » (SIRET base 52008240500025)
529;38219585700026;ALPES BISCUITS;2026;Documentary review;2-Inspection order accepted;Audit rattaché par SIREN;SIRET audit 38219585700026 → entité « ALPES BISCUITS » (SIRET base 38219585700018)
531;84954105700022;Natur'opéra;2025;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 84954105700022 → entité « Natur'Opéra » (SIRET base 84954105700014)
533;;ASSOCIATION BIOPARTENAIRE;2022;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
534;84954105700022;Natur'opéra;2023;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 84954105700022 → entité « Natur'Opéra » (SIRET base 84954105700014)
539;83094262900015;BIOMERE (ex : Jubiles);2026;Documentary review;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 83094262900015 → entité « BIOMERE » (SIRET base 83094262900056)
542;;ASSOCIATION BIOPARTENAIRE;2022;Initial inspection;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
548;80524372200024;HOLLEA;2026;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 80524372200024 → entité « HOLLEA » (SIRET base 80524372200016)
549;43509328100028;BRASSERIE ARTISANALE RATZ;2026;Initial inspection;2-Inspector's Infoportal;SIRET inconnu dans la base FEEF;SIRET Ecocert : 43509328100028, SIREN 435093281 absent de la base, nom non rapproché
552;821064847;CHICHE;2026;Documentary review;2-Inspection order accepted;Audit rattaché par SIREN;SIRET audit 821064847 → entité « CHICHE » (SIRET base 82106484700022)
553;41420362000045;TREO;2024;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 41420362000045 → entité « TREO » (SIRET base 41420362000052)
557;;EXTRUPLAST;2024;Annual inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « EXTRUPLAST » (SIRET base 41513341200015)"
558;;RICA LEWIS;2022;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
562;56850321300023;RAIFALSA-ALELOR;2022;Documentary review;4-Certification finished;Audit rattaché par nom;"SIRET audit ""56850321300023"" → entité « RAIFALSA-ALELOR » (SIRET base 41452729100036)"
567;01575153000013;MULOT ET PETITJEAN;2024;Annual inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 01575153000013, SIREN 015751530 absent de la base, nom non rapproché
568;55850337100178;GROUPE FRANCAISE DE  GASTRONOMIE;2024;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 55850337100178 → entité « GROUPE FRANCAISE DE GASTRONOMIE » (SIRET base 55850337100160)
569;80524372200024;HOLLEA;2025;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 80524372200024 → entité « HOLLEA » (SIRET base 80524372200016)
574;57215120700030;SAINTE LUCIE;2024;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 57215120700030 → entité « SAINTE LUCIE » (SIRET base 57215120700022)
575;303229504;AGROBIOTHERS LABORATOIRE;2022;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 303229504 → entité « AGROBIOTHERS » (SIRET base 30322950400020)
582;75720010000019;BISCUITS BOUVARD;2024;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 75720010000019 → entité « BISCUITS BOUVARD » (SIRET base 75720010000027)
590;;MEDITERRANEAN FOOD SOLUTIONS;2026;Renewal audit;2-Inspection order accepted;Audit rattaché par nom;"SIRET audit """" → entité « MEDITERRANEAN FOOD SOLUTIONS » (SIRET base 75366031500031)"
598;;OCCITANE PLATS CUISINES;2025;Initial inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « OCCITANE PLATS CUISINES » (SIRET base 80378260600013)"
603;32135524000037;JC DAVID;2025;Renewal audit;4-Certification finished;Audit rattaché par nom;"SIRET audit ""32135524000037"" → entité « JC DAVID » (SIRET base 43910041300020)"
604;;EXTRUPLAST;2022;Annual inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « EXTRUPLAST » (SIRET base 41513341200015)"
612;34795652600037;LES QUATRE SAISONS;2024;Initial inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit ""34795652600037"" → entité « LES QUATRE SAISONS » (SIRET base 32304875100024)"
618;;ASSOCIATION BIOPARTENAIRE;2022;Initial inspection;4-Certification finished;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
621;;OCCITANE PLATS CUISINES;2026;Documentary review;2-Inspection order accepted;Audit rattaché par nom;"SIRET audit """" → entité « OCCITANE PLATS CUISINES » (SIRET base 80378260600013)"
623;32135524000037;JC DAVID;2024;Documentary review;4-Certification finished;Audit rattaché par nom;"SIRET audit ""32135524000037"" → entité « JC DAVID » (SIRET base 43910041300020)"
634;43523314300013;LES JARDINS DE L'ORBRIE;2022;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 43523314300013 → entité « LES JARDINS DE L'ORBRIE » (SIRET base 43523314300039)
638;34768107400063;CHARLES & ALICE;2025;Renewal audit;4-Certification finished;Audit rattaché par SIREN;SIRET audit 34768107400063 → entité « CHARLES ET ALICE » (SIRET base 34768107400048)
640;41420362000045;TREO;2026;Documentary review;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 41420362000045 → entité « TREO » (SIRET base 41420362000052)
647;75720010000019;BISCUITS BOUVARD;2022;Initial inspection;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 75720010000019 → entité « BISCUITS BOUVARD » (SIRET base 75720010000027)
650;90003265700026;ATELIER CORSE FRUITS ET LEGUMES;2025;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 90003265700026 → entité « ATELIER CORSE FRUITS ET LEGUMES » (SIRET base 90003265700018)
651;;ASSOCIATION BIOPARTENAIRE;2026;Renewal audit;2-Inspection order accepted;SIRET manquant;"SIRET brut : """", nom non rapproché à une entité de la base"
653;520082405;COMPAGNIE DU BICARBONATE;2026;Renewal audit;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 520082405 → entité « COMPAGNIE DU BICARBONATE » (SIRET base 52008240500025)
655;;COMPAGNIE DES PATISSIERS;2023;Annual inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « COMPAGNIE DES PATISSIERS » (SIRET base 40119370100026)"
