ligne;siret;nom;saison;type_audit;statut_ecocert;probleme;details
803;81499482800022;LES GLACIERS PARISIENS (ALPEREL);2023;Annual inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 81499482800022 — SIREN 814994828 absent de la base, nom non rapproché
805;83094262900015;BIOMERE (ex : Jubiles);2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 83094262900015 → entité « BIOMERE » (SIRET base 83094262900056)
812;30887574900019;DELOUIS FILS;2023;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 30887574900019 → entité « DELOUIS FILS - MOUTARDES ET CONDIMENTS » (SIRET base 30887574900035)
816;;ICI&LA;2023;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
820;71850193500024;PAUL HEUMANN;2023;Annual inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 71850193500024 — SIREN 718501935 absent de la base, nom non rapproché
826;75720010000019;BISCUITS BOUVARD;2023;Additional inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 75720010000019 → entité « BISCUITS BOUVARD » (SIRET base 75720010000027)
827;39946423900017;PRIMEL GASTRONOMIE;2023;Additional inspection;1-Inspection order created;Audit rattaché par SIREN;SIRET audit 39946423900017 → entité « PRIMEL GASTRONOMIE » (SIRET base 39946423900025)
832;;MADEMOISELLE DE MARGAUX;2023;Additional inspection;1-Inspection order created;Audit rattaché par nom;"SIRET audit """" → entité « MADEMOISELLE DE MARGAUX » (SIRET base 44478403700020)"
833;39420218800147;ESPRIT DU SEL;2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 39420218800147 → entité « ESPRIT DU SEL » (SIRET base 39420218800063)
835;;LA BROSSE ET DUPONT;2023;Additional inspection;1-Inspection order created;Audit rattaché par nom;"SIRET audit """" → entité « LA BROSSE ET DUPONT » (SIRET base 57213300700144)"
836;55850337100137;GROUPE FRANCAISE DE GASTRONOMIE;2023;Additional inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 55850337100137 → entité « GROUPE FRANCAISE DE GASTRONOMIE » (SIRET base 55850337100160)
837;50185556300018;AMERICAN DESSERTS;2023;Annual inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 50185556300018 — SIREN 501855563 absent de la base, nom non rapproché
840;55850337100178;GROUPE FRANCAISE DE  GASTRONOMIE;2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 55850337100178 → entité « GROUPE FRANCAISE DE GASTRONOMIE » (SIRET base 55850337100160)
853;;LOC MARIA;2023;Additional inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « LOC MARIA » (SIRET base 48310030100033)"
854;;LA FRANCO ARGENTINE;2023;Annual inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « LA FRANCO ARGENTINE » (SIRET base 35309884100029)"
859;;CULTURE MIEL;2023;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
865;;ST HUBERT;2023;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
867;;BOYAUDERIE SISTERONNAISE;2023;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
872;62162092100075;CONFISERIE DU ROY RENE;2023;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 62162092100075 → entité « CONFISERIE DU ROY RENE » (SIRET base 62162092100026)
874;;WOLF LINGERIE;2023;Annual inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « WOLF LINGERIE » (SIRET base 63850210400042)"
879;;ALTHO;2023;Annual inspection;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
888;44916448200050;ETHIQUABLE;2023;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 44916448200050 → entité « ETHIQUABLE » (SIRET base 44916448200027)
889;01575153000013;MULOT ET PETITJEAN;2023;Documentary review;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 01575153000013 — SIREN 015751530 absent de la base, nom non rapproché
890;66020113800030;HUILERIE EMILE NOEL;2023;Documentary review;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 66020113800030 — SIREN 660201138 absent de la base, nom non rapproché
894;38233895200015;SPH GERARD BERTRAND  - SITE PRINCIPAL;2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 38233895200015 → entité « SPH GERARD BERTRAND » (SIRET base 38233895200023)
895;56850321300023;RAIFALSA-ALELOR;2023;Annual inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit ""56850321300023"" → entité « RAIFALSA-ALELOR » (SIRET base 41452729100036)"
896;303229504;AGROBIOTHERS LABORATOIRE;2023;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 303229504 → entité « AGROBIOTHERS » (SIRET base 30322950400020)
898;85580259100013;NATURE ET ALIMENTS;2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 85580259100013 → entité « NATURE ET ALIMENTS » (SIRET base 85580259100021)
900;74562027800044;ROUTIN;2023;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 74562027800044 → entité « ROUTIN SA » (SIRET base 74562027800010)
902;;RICA LEWIS;2023;Renewal audit;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
903;;OVALIS;2023;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
909;75720010000019;BISCUITS BOUVARD;2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 75720010000019 → entité « BISCUITS BOUVARD » (SIRET base 75720010000027)
910;57215120700030;SAINTE LUCIE;2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 57215120700030 → entité « SAINTE LUCIE » (SIRET base 57215120700022)
913;;PAGES VEDRENNE;2023;Additional inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « PAGES VEDRENNE » (SIRET base 35382104400065)"
914;57595041500019;REITZEL BRIAND SITE CONNERRE;2023;Additional inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 57595041500019 — SIREN 575950415 absent de la base, nom non rapproché
915;43523314300013;LES JARDINS DE L'ORBRIE;2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 43523314300013 → entité « LES JARDINS DE L'ORBRIE » (SIRET base 43523314300039)
920;41420362000045;TREO;2023;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 41420362000045 → entité « TREO » (SIRET base 41420362000052)
928;;GROUPE FRANCAISE DE  GASTRONOMIE;2023;Initial inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « GROUPE FRANCAISE DE GASTRONOMIE » (SIRET base 55850337100160)"
929;;COMPAGNIE DES PATISSIERS NORMANDIE;2023;Additional inspection;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
931;;LOBODIS;2023;Annual inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « LOBODIS » (SIRET base 34465626900075)"
934;53273732700017;BRASSERIE DE VEZELAY;2023;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 53273732700017 → entité « BRASSERIE DE VEZELAY » (SIRET base 53273732700025)
941;;ESPROMER;2023;Annual inspection;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
947;39420218800147;ESPRIT DU SEL;2022;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 39420218800147 → entité « ESPRIT DU SEL » (SIRET base 39420218800063)
948;;OVALIS;2022;Initial inspection;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
952;30887574900019;DELOUIS FILS;2022;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 30887574900019 → entité « DELOUIS FILS - MOUTARDES ET CONDIMENTS » (SIRET base 30887574900035)
953;;RICA LEWIS;2022;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
954;;WOLF LINGERIE;2022;Documentary review;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « WOLF LINGERIE » (SIRET base 63850210400042)"
955;;BOYAUDERIE SISTERONNAISE;2022;Annual inspection;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
956;33985193300012;MARIE MORIN FRANCE;2022;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 33985193300012 → entité « MARIE MORIN » (SIRET base 33985193300020)
958;;ST HUBERT;2022;Renewal audit;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
959;43523314300013;LES JARDINS DE L'ORBRIE;2022;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 43523314300013 → entité « LES JARDINS DE L'ORBRIE » (SIRET base 43523314300039)
964;66020113800030;HUILERIE EMILE NOEL;2022;Initial inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 66020113800030 — SIREN 660201138 absent de la base, nom non rapproché
967;80524372200024;HOLLEA;2022;Initial inspection;1-Inspection order created;Audit rattaché par SIREN;SIRET audit 80524372200024 → entité « HOLLEA » (SIRET base 80524372200016)
968;56850321300023;RAIFALSA-ALELOR;2022;Documentary review;4-Certification finished;Audit rattaché par nom;"SIRET audit ""56850321300023"" → entité « RAIFALSA-ALELOR » (SIRET base 41452729100036)"
970;63632053300012;POULIQUEN;2022;Initial inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit ""63632053300012"" → entité « POULIQUEN » (SIRET base 83964261800020)"
986;44916448200050;ETHIQUABLE;2022;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 44916448200050 → entité « ETHIQUABLE » (SIRET base 44916448200027)
989;;ESPROMER;2022;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
992;;JLF;2022;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
994;55850337100178;GROUPE FRANCAISE DE  GASTRONOMIE;2022;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 55850337100178 → entité « GROUPE FRANCAISE DE GASTRONOMIE » (SIRET base 55850337100160)
998;32135524000037;JC DAVID;2022;Annual inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit ""32135524000037"" → entité « JC DAVID » (SIRET base 43910041300020)"
1005;;ICI&LA;2022;Renewal audit;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
1008;;KINDY PROJECT;2022;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
1009;75720010000019;BISCUITS BOUVARD;2022;Initial inspection;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 75720010000019 → entité « BISCUITS BOUVARD » (SIRET base 75720010000027)
