# id_fille,code_Sage_fille,name_fille,date_entered_fille,date_modified_fille,name_commercial_fille,status_fille,type_fille,est_alimentaire,est_non_alimentaire,is_certified_fille,is_group_adherent_fille,adherent_number_fille,siret_fille,deleted_fille,id_mere,code_Sage_mere,name_mere,name_commercial_mere,status_mere,type_mere,is_group_adherent_mere,adherent_number_mere,siret_mere,deleted_mere,is_mother_master
03c6b406-e8de-11e9-80ce-fa163eb33c65,,LOC MARIA,7/10/2019,25/9/2025,LOC MARIA,ADH,eti,1,0,1,1,,37934015100081,0,a5a77884-21a8-11ea-a8e5-fa163eb33c65,,GALAPAGOS GROUP,GALAPAGOS,ADH,eti,1,,32809789400070,0,0
f7eabac4-e8dd-11e9-82c6-fa163eb33c65,,BISCUITS FOSSIER,7/10/2019,26/1/2026,BISCUITS FOSSIER,ADH,pme,1,0,1,1,,37826992200050,0,a5a77884-21a8-11ea-a8e5-fa163eb33c65,,GALAPAGOS GROUP,GALAPAGOS,ADH,eti,1,,32809789400070,0,0
f5f5c7d6-e8dd-11e9-a18f-fa163eb33c65,,ALPINA SAVOIE,7/10/2019,12/12/2025,ALPINA SAVOIE,ADH,eti,1,0,1,1,,74572113400013,0,a5a77884-21a8-11ea-a8e5-fa163eb33c65,,GALAPAGOS GROUP,GALAPAGOS,ADH,eti,1,,32809789400070,0,0
f806cbf6-e8dd-11e9-9316-fa163eb33c65,,BOEHLI  SAS,7/10/2019,2/9/2025,BOEHLI  SAS,ADH,pme,1,0,1,1,,41523042400020,0,580e34ea-4e40-11ea-893e-fa163eb33c65,,MOULIN DES MOINES,MOULIN DES MOINES,ADH,pme,1,,,0,0
08dacc20-e8de-11e9-a183-fa163eb33c65,,RIVIERE,7/10/2019,9/6/2025,MAISON RIVIERE,ADH,pme,1,0,1,1,,34984417500019,0,77331922-7b3a-11ea-8393-fa163eb33c65,,RIVIERE DIFFUSION,RIVIERE DIFFUSION,ADH,tpe,1,,43839430600015,0,0
03876de6-e8de-11e9-bdc9-fa163eb33c65,,LES METS DE PROVENCE,7/10/2019,6/2/2025,LES METS DE PROVENCE,ADH,pme,1,0,1,1,,32177464800026,0,77331922-7b3a-11ea-8393-fa163eb33c65,,RIVIERE DIFFUSION,RIVIERE DIFFUSION,ADH,tpe,1,,43839430600015,0,0
69c23d24-4374-11eb-9510-fa163eb33c65,,BRASSERIE DE VEZELAY,21/12/2020,8/7/2025,BRASSERIE DE VEZELAY,ADH,tpe,1,0,1,1,,53273732700025,0,ca02ad34-069d-11ed-9b09-fa163e4cbe98,,FABULOUS FRENCH BRASSEURS,FABULOUS FRENCH BRASSEURS,ADH,tpe,1,,,0,0
f8afcbfc-e8dd-11e9-af37-fa163eb33c65,,BRITT BRASSERIE DE BRETAGNE,7/10/2019,8/7/2025,BRITT BRASSERIE DE BRETAGNE,ADH,pme,1,0,1,1,,41867174900012,0,ca02ad34-069d-11ed-9b09-fa163e4cbe98,,FABULOUS FRENCH BRASSEURS,FABULOUS FRENCH BRASSEURS,ADH,tpe,1,,,0,0
7cd24cac-7710-11ed-8b47-fa163e4cbe98,,DISSAUX SAS,8/12/2022,6/8/2025,DISSAUX SAS,ADH,pme,1,0,1,1,,78417326200030,0,e197f85a-69ad-11ed-b81f-fa163e4cbe98,,GROUPE SECO,GROUPE SECO,ADH,pme,1,,,0,1
283d3bbc-c1a1-11ed-8f00-fa163e4cbe98,,TERRAVEG UNIBIO,13/3/2023,6/8/2025,TERRAVEG UNIBIO,ADH,pme,1,0,1,1,,75297248900021,0,e197f85a-69ad-11ed-b81f-fa163e4cbe98,,GROUPE SECO,GROUPE SECO,ADH,pme,1,,,0,1
f3c9ebd0-770b-11ed-aa2d-fa163e4cbe98,410005294,AGROMEX,8/12/2022,6/8/2025,TERROIR D'ORIGINE,ADH,pme,1,0,1,1,,50468563700028,0,e197f85a-69ad-11ed-b81f-fa163e4cbe98,,GROUPE SECO,GROUPE SECO,ADH,pme,1,,,0,1
1d05b1f4-7262-11ed-add5-fa163e4cbe98,410001825,LE BATISTOU,2/12/2022,13/1/2026,LE BATISTOU,ADH,pme,1,0,1,1,,52929577600015,0,31ca4f14-1cf2-11ef-8fc5-005056966fe6,410005752,SAVEURS ET TRADITIONS CONSEIL (holding),SAVEURS ET TRADITIONS CONSEIL,ADH,pme,1,,,0,1
5d61e01a-1cf2-11ef-b08c-005056966fe6,,SALAISONS BERNARD,28/5/2024,13/1/2026,SALAISONS BERNARD,ADH,pme,1,0,1,1,,,0,31ca4f14-1cf2-11ef-8fc5-005056966fe6,410005752,SAVEURS ET TRADITIONS CONSEIL (holding),SAVEURS ET TRADITIONS CONSEIL,ADH,pme,1,,,0,1
06bcd3a0-8f8e-11ef-a6c7-005056966fe6,,RAFFOLE,21/10/2024,15/4/2025,RAFFOLE,ADH,pme,1,0,1,1,,,0,016effa0-976c-11ef-a897-005056966fe6,,CLINAMEN SAS HOLDING,CLINAMEN,ADH,pme,1,,,0,0
fb854ea6-e8dd-11e9-b54e-fa163eb33c65,,DANIEL ALLAIRE SAS,7/10/2019,28/1/2026,MAISON  ALLAIRE,ADH,pme,1,0,1,1,,32290299000017,0,a98ae0dc-fc4c-11f0-bb2c-005056966fe6,,AEB SERVICES,AEB SERVICES,ADH,tpe,1,,,0,1
ec6e37f4-a89c-11eb-83fc-fa163eb33c65,,EURO 5,29/4/2021,28/1/2026,Euro 5,ADH,pme,1,0,1,1,,52875804800000,0,a98ae0dc-fc4c-11f0-bb2c-005056966fe6,,AEB SERVICES,AEB SERVICES,ADH,tpe,1,,,0,1
